elea,relt,eleb
Kitchin 2021b,cites,Dodge and Kitchin 2005
Kitchin 2021b,cites,Currie et al. 2016
Kitchin 2021b,cites,Loukissas 2018
Kitchin 2021b,cites,Iliadis 2019
Kitchin 2021b,cites,Dodge and Kitchin 2000
Kitchin 2021b,cites,Bates et al. 2016
Kitchin 2021b,cites,Bates 2018
Kitchin 2021b,cites,Light et al. 2016
Kitchin 2021b,cites,Leszczynski 2017
Kitchin 2021b,cites,Desrosières 1998
Kitchin 2021b,cites,Porter 1995
Kitchin 2021b,cites,Poovey 1998
Kitchin 2021b,cites,Hannah 2011
Kitchin 2021b,cites,Lauriault 2012
Kitchin 2021b,cites,Koopman 2019
Kitchin 2021b,cites,Wernimont 2018
Kitchin 2021b,cites,Karabell 2014
Kitchin 2021b,cites,Browne 2015
Kitchin 2021b,cites,Phillips 2019
Kitchin 2021b,cites,Barnes and Wilson 2014
Kitchin 2021b,cites,Wyly 2019
Kitchin 2021b,cites,Crowley 2009
Kitchin 2021b,cites,Foucault 1977
Kitchin 2021b,cites,Lauriault 2017
Kitchin 2021b,cites,Davies et al. 2019b
Kitchin 2021b,cites,Kennedy et al. 2015b
Kitchin 2021b,cites,Petty et al. 2016
Kitchin 2021b,cites,Urban Praxis 2017
Kitchin 2021b,cites,Ampatzidou et al. 2015
Kitchin 2021b,cites,Gabrys et al. 2016
Kitchin 2021b,cites,Irani 2015
Kitchin 2021b,cites,Perng et al. 2018
Kitchin 2021b,cites,Powell 2018
Kitchin 2021b,cites,Jarke 2019
Kitchin 2021b,cites,Hunter 2018
Kitchin 2021b,cites,Solove 2011
Kitchin 2021b,cites,Cardullo and Kitchin 2019b
Kitchin 2021b,cites,van Zoonen et al. 2017
Kitchin 2021b,cites,Dawkins and Young 2020
Kitchin 2021b,cites,Thatcher and Dalton 2017
Kitchin 2021b,cites,Andrejevic 2007
Kitchin 2021b,cites,Bradshaw 2018
Kitchin 2021b,cites,Truman and Springgay 2015
Kitchin 2021b,cites,Truman 2017
Kitchin 2021b,cites,Lupton and Watson 2020
Kitchin 2021b,cites,Foley 2020
Kitchin 2021b,cites,Lee 2019
Kitchin 2021b,cites,Graham et al. 2019
Kitchin 2021b,cites,Fotopoulou and Beavon 2020
Kitchin 2021b,cites,Petrelli et al. 2017
Kitchin 2021b,cites,Lee et al. 2016b
Kitchin 2021b,cites,Desjardins and Tihanyi 2019
Kitchin 2021b,cites,Thudt et al. 2017
Kitchin 2021b,cites,Weinberg n.d.
Kitchin 2021b,cites,Jansen et al. 2015
Kitchin 2021b,cites,Lupton 2017
Kitchin 2021b,cites,Offenhuber 2020
Kitchin 2021b,cites,Khot et al. 2015
Kitchin 2021b,cites,Markham and Pereira 2019a
Kitchin 2021b,cites,Markham and Pereira 2019b
Kitchin 2021b,cites,Stark 2014
Kitchin 2021b,cites,Pickles 1995
Kitchin 2021b,cites,Schuurman and Pratt 2002
Kitchin 2021b,cites,Dunn 2007
Kitchin 2021b,cites,Crampton et al. 2013
Kitchin 2021b,cites,Williams 2020
Kitchin 2021b,cites,D’Ignazio and Klein 2020
Kitchin 2021b,cites,Graham et al. 2014
Kitchin 2021b,cites,Graham et al. 2015
Kitchin 2021b,cites,Robinson and Franklin 2020
Pickles 1995,instantiates,critical data science method
Schuurman and Pratt 2002,instantiates,critical data science method
Dunn 2007,instantiates,critical data science method
Crampton et al. 2013,instantiates,critical data science method
Williams 2020,instantiates,critical data science method
D’Ignazio and Klein 2020,instantiates,critical data science method
Graham et al. 2014,instantiates,critical data science method
Graham et al. 2015,instantiates,critical data science method
Robinson and Franklin 2020,instantiates,critical data science method
Lupton 2017,instantiates,research-creation and creative practice method
Offenhuber 2020,instantiates,research-creation and creative practice method
Khot et al. 2015,instantiates,research-creation and creative practice method
Markham and Pereira 2019a,instantiates,research-creation and creative practice method
Markham and Pereira 2019b,instantiates,research-creation and creative practice method
Stark 2014,instantiates,research-creation and creative practice method
Lee et al. 2016b,instantiates,research-creation and creative practice method
Desjardins and Tihanyi 2019,instantiates,research-creation and creative practice method
Thudt et al. 2017,instantiates,research-creation and creative practice method
Weinberg n.d.,instantiates,research-creation and creative practice method
Jansen et al. 2015,instantiates,research-creation and creative practice method
Truman and Springgay 2015,instantiates,research-creation and creative practice method
Truman 2017,instantiates,research-creation and creative practice method
Lupton and Watson 2020,instantiates,research-creation and creative practice method
Foley 2020,instantiates,research-creation and creative practice method
Lee 2019,instantiates,research-creation and creative practice method
Kitchin 2021a,instantiates,research-creation and creative practice method
Graham et al. 2019,instantiates,research-creation and creative practice method
Fotopoulou and Beavon 2020,instantiates,research-creation and creative practice method
Petrelli et al. 2017,instantiates,research-creation and creative practice method
Andrejevic 2007,instantiates,discursive analysis method
Solove 2011,instantiates,discursive analysis method
Bradshaw 2018,instantiates,discursive analysis method
Cardullo and Kitchin 2019b,instantiates,discursive analysis method
Powell 2018,instantiates,data walk method
Jarke 2019,instantiates,data walk method
Hunter 2018,instantiates,data walk method
van Zoonen et al. 2017,instantiates,data walk method
Dawkins and Young 2020,instantiates,data walk method
Thatcher and Dalton 2017,instantiates,data walk method
Kennedy et al. 2015b,instantiates,participatory and action research method
Petty et al. 2016,instantiates,participatory and action research method
Urban Praxis 2017,instantiates,participatory and action research method
Ampatzidou et al. 2015,instantiates,participatory and action research method
Gabrys et al. 2016,instantiates,participatory and action research method
Meng and DiSalvo 2018,instantiates,participatory and action research method
Meng and DiSalvo 2018,instantiates,discursive analysis method
Irani 2015,instantiates,participatory and action research method
Perng et al. 2018,instantiates,participatory and action research method
Phillips 2019,instantiates,historical analysis and genealogy method
Barnes and Wilson 2014,instantiates,historical analysis and genealogy method
Wyly 2019,instantiates,historical analysis and genealogy method
Crowley 2009,instantiates,historical analysis and genealogy method
Foucault 1977,instantiates,historical analysis and genealogy method
Lauriault 2017,instantiates,historical analysis and genealogy method
Davies et al. 2019b,instantiates,historical analysis and genealogy method
Browne 2015,instantiates,historical analysis and genealogy method
Wernimont 2018,instantiates,historical analysis and genealogy method
Wernimont 2018,instantiates,discursive analysis method
Koopman 2019,instantiates,historical analysis and genealogy method
Koopman 2019,instantiates,discursive analysis method
Desrosières 1998,instantiates,historical analysis and genealogy method
Porter 1995,instantiates,historical analysis and genealogy method
Poovey 1998,instantiates,historical analysis and genealogy method
Hannah 2011,instantiates,historical analysis and genealogy method
Lauriault 2012,instantiates,historical analysis and genealogy method
Karabell 2014,instantiates,historical analysis and genealogy method
Light et al. 2016,instantiates,data archaeology method
Leszczynski 2017,instantiates,data archaeology method
Tanweer et al. 2016,instantiates,data archaeology method
Dodge and Kitchin 2000,instantiates,data archaeology method
Bates et al. 2016,instantiates,data archaeology method
Bates et al. 2016,instantiates,"interview, focus group and workshop method"
Bates et al. 2016,instantiates,discursive analysis method
Bates et al. 2016,instantiates,historical analysis and genealogy method
Bates 2018,instantiates,data archaeology method
Bates 2018,instantiates,"interview, focus group and workshop method"
Bates 2018,instantiates,discursive analysis method
Ruijer et al. 2017,instantiates,"interview, focus group and workshop method"
Kitchin and Moore-Cherry 2020,instantiates,"interview, focus group and workshop method"
Kitchin and Moore-Cherry 2020,instantiates,discursive analysis method
Brayne 2017,instantiates,"interview, focus group and workshop method"
Brayne 2017,instantiates,discursive analysis method
Delaney 2019,instantiates,"interview, focus group and workshop method"
Delaney and Kitchin 2020,instantiates,"interview, focus group and workshop method"
Delaney and Kitchin 2020,instantiates,discursive analysis method
Thatcher 2014,instantiates,"interview, focus group and workshop method"
Gray 2019,instantiates,"interview, focus group and workshop method"
Chenou and Cepeda-Másmela 2019,instantiates,"interview, focus group and workshop method"
Chenou and Cepeda-Másmela 2019,instantiates,discursive analysis method
Cinnamon 2019,instantiates,"interview, focus group and workshop method"
Baack 2015,instantiates,"interview, focus group and workshop method"
Dumit and Nafus 2018,instantiates,data archaeology method
Kitchin and McArdle 2016,instantiates,data archaeology method
Kitchin and Stehle 2021,instantiates,data archaeology method
Kitchin et al. 2016,instantiates,data archaeology method
Dodge and Kitchin 2005,instantiates,data archaeology method
Currie et al. 2016,instantiates,data archaeology method
Currie et al. 2016,instantiates,participatory and action research method
Currie et al. 2016,instantiates,discursive analysis method
Meng and DiSalvo 2018,instantiates,data archaeology method
Loukissas 2018,instantiates,data archaeology method
Loukissas 2018,instantiates,discursive analysis method
Iliadis 2019,instantiates,data archaeology method
